Unnamed: 0,id,scrape_id,last_scraped,host_url,host_location,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_verifications,longitude,property_type,bathrooms,bathrooms_text,bedrooms,beds,amenities,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,host_name,host_listings_count,has_availability,number_of_reviews,price
1,41168,20241200000000.0,29/12/24,https://www.airbnb.com/users/show/173169,"Victoria, Canada",99%,t,6,"['email', 'phone']",-123.37065,Entire rental unit,1.0,1 bath,1.0,1.0,"[""Free parking on premises"", ""Outdoor furniture"", ""Long term stays allowed"", ""Dishes and silverware"", ""Hair dryer"", ""Smoke alarm"", ""Cleaning products"", ""Pack \u2019n play/Travel crib"", ""Patio or balcony"", ""Paid dryer \u2013 In building"", ""Refrigerator"", ""Free street parking"", ""Shared backyard \u2013 Fully fenced"", ""TV with Netflix, Amazon Prime Video"", ""Shampoo"", ""Dining table"", ""Self check-in"", ""Bathtub"", ""Essentials"", ""Oven"", ""Toaster"", ""Heating"", ""Private entrance"", ""Hot water kettle"", ""Hot water"", ""Kitchen"", ""Wifi"", ""Hangers"", ""Fire extinguisher"", ""Microwave"", ""Baking sheet"", ""BBQ grill"", ""Pets allowed"", ""Dishwasher"", ""Body soap"", ""Barbecue utensils"", ""Dedicated workspace"", ""Portable fans"", ""Cooking basics"", ""Washer"", ""Keypad"", ""Extra pillows and blankets"", ""Bed linens"", ""Coffee maker"", ""Wine glasses"", ""Stove"", ""Freezer""]",1,90,1,1,90,90,1.0,90.0,,0,0,0,29/12/24,9,0,04/07/13,29/09/24,4.29,4.48,4.42,4.52,4.57,4.83,4.23,38790,3,3,0,0,0.5,Ocean Island Garden Suites,3,t,70,"$9,999.00 "
2,83515,20241200000000.0,29/12/24,https://www.airbnb.com/users/show/455118,"British Columbia, Canada",97%,t,4,"['email', 'phone']",-123.49996,Entire guest suite,1.0,1 bath,1.0,0.0,"[""Free parking on premises"", ""Dishes and silverware"", ""Hair dryer"", ""Smoke alarm"", ""Backyard"", ""Refrigerator"", ""Courtyard view"", ""Shampoo"", ""Garden view"", ""Self check-in"", ""Essentials"", ""Heating"", ""Dryer"", ""Hot water"", ""Kitchen"", ""Wifi"", ""Building staff"", ""Breakfast"", ""Washer"", ""Coffee maker""]",2,730,2,2,730,730,2.0,730.0,,23,44,289,29/12/24,13,0,05/05/11,13/10/24,4.88,4.89,4.87,4.92,4.84,4.94,4.75,,2,2,0,0,0.89,Celia,2,t,148,$175.00 
9,226028,20241200000000.0,29/12/24,https://www.airbnb.com/users/show/1178351,"Victoria, Canada",100%,t,2,"['email', 'phone', 'work_email']",-123.35134,Entire home,1.0,1 bath,1.0,2.0,"[""Free parking on premises"", ""Outdoor furniture"", ""Long term stays allowed"", ""Dishes and silverware"", ""Hair dryer"", ""Smoke alarm"", ""Cleaning products"", ""Sound system with aux"", ""Ethernet connection"", ""Radiant heating"", ""Refrigerator"", ""Outdoor dining area"", ""Free street parking"", ""Host greets you"", ""Shared beach access"", ""Luggage dropoff allowed"", ""Induction stove"", ""Dining table"", ""Natural unscented body soap"", ""Natural unscented shampoo"", ""Outlet covers"", ""Essentials"", ""Toaster"", ""Blender"", ""Cleaning available during stay"", ""Private entrance"", ""36 inch HDTV with Amazon Prime Video, Chromecast, Netflix, standard cable"", ""Private patio or balcony"", ""Hot water kettle"", ""Hot water"", ""Books and reading material"", ""Shower gel"", ""Ceiling fan"", ""Kitchen"", ""Hangers"", ""Fire extinguisher"", ""Wifi"", ""Baking sheet"", ""Pets allowed"", ""Coffee"", ""Dishwasher"", ""Clothing storage: closet and dresser"", ""Free dryer \u2013 In unit"", ""Free washer \u2013 In unit"", ""Barbecue utensils"", ""Dedicated workspace"", ""Cooking basics"", ""Private BBQ grill: gas"", ""Drying rack for clothing"", ""Extra pillows and blankets"", ""Iron"", ""Bed linens"", ""Coffee maker"", ""Wine glasses"", ""Natural unscented conditioner"", ""Private backyard \u2013 Fully fenced"", ""Freezer""]",30,1125,30,30,1125,1125,30.0,1125.0,,0,5,37,29/12/24,2,0,07/10/11,08/09/24,4.88,4.94,4.9,4.94,4.92,4.73,4.77,,2,2,0,0,1.61,Allison,2,t,259,$110.00 
10,226030,20241200000000.0,29/12/24,https://www.airbnb.com/users/show/1178351,"Victoria, Canada",100%,t,2,"['email', 'phone', 'work_email']",-123.35237,Entire home,,1 bath,1.0,,"[""Outdoor furniture"", ""Long term stays allowed"", ""Dishes and silverware"", ""Hair dryer"", ""Conditioner"", ""Cleaning products"", ""Smoke alarm"", ""Bose Bluetooth sound system"", ""Outdoor dining area"", ""Refrigerator"", ""Free street parking"", ""Host greets you"", ""Luggage dropoff allowed"", ""Shampoo"", ""Dining table"", ""Bathtub"", ""Essentials"", ""Oven"", ""Toaster"", ""Cleaning available during stay"", ""Heating"", ""Dryer"", ""Private entrance"", ""Private patio or balcony"", ""Hot water kettle"", ""Fire pit"", ""Hot water"", ""Shower gel"", ""Ceiling fan"", ""Indoor fireplace"", ""Kitchen"", ""Hangers"", ""Fire extinguisher"", ""Wifi"", ""Baking sheet"", ""BBQ grill"", ""Pets allowed"", ""Dishwasher"", ""Clothing storage: closet and dresser"", ""Body soap"", ""72 inch HDTV with Amazon Prime Video, Netflix, Chromecast, standard cable"", ""Barbecue utensils"", ""Dedicated workspace"", ""Cooking basics"", ""Washer"", ""Drying rack for clothing"", ""Extra pillows and blankets"", ""Iron"", ""Bed linens"", ""Coffee maker"", ""Wine glasses"", ""Private backyard \u2013 Fully fenced"", ""Stove"", ""Freezer""]",30,1125,30,30,1125,1125,30.0,1125.0,,0,0,0,29/12/24,0,0,30/06/15,09/07/18,4.75,4.88,5.0,5.0,4.88,4.75,4.88,,2,2,0,0,0.07,Allison,2,t,8,
12,250576,20241200000000.0,29/12/24,https://www.airbnb.com/users/show/911586,"Victoria, Canada",100%,t,2,"['email', 'phone']",-123.35599,Private room in home,1.0,1 shared bath,1.0,1.0,"[""Hangers"", ""Wifi"", ""Hair dryer"", ""Smoke alarm"", ""Microwave"", ""Dishes and silverware"", ""Essentials"", ""Backyard"", ""Iron"", ""Refrigerator"", ""Coffee maker"", ""Heating"", ""Free street parking"", ""Shampoo""]",1,1125,1,1,1125,1125,1.0,1125.0,,35,48,133,29/12/24,13,6,07/07/12,13/12/24,4.79,4.83,4.83,4.92,4.9,4.68,4.81,,2,0,2,0,1.31,Jennifer,2,t,199,$60.00 
26,514811,20241200000000.0,29/12/24,https://www.airbnb.com/users/show/393956,"Victoria, Canada",96%,t,2,"['email', 'phone']",-123.41749,Entire rental unit,1.0,1 bath,1.0,1.0,"[""Sea view"", ""Climbing wall"", ""Outdoor furniture"", ""Park view"", ""Dishes and silverware"", ""Waterfront"", ""Hair dryer"", ""Conditioner"", ""Cleaning products"", ""Smoke alarm"", ""Free parking on premises"", ""Long term stays allowed"", ""Room-darkening shades"", ""Ethernet connection"", ""Refrigerator"", ""Outdoor dining area"", ""Free street parking"", ""Shared beach access"", ""Luggage dropoff allowed"", ""Shampoo"", ""Dining table"", ""Pool"", ""Small cd player/radio with usb jack sound system"", ""Lockbox"", ""Electric stove"", ""Coffee maker: drip coffee maker, french press, pour-over coffee"", ""Self check-in"", ""Essentials"", ""Oven"", ""Toaster"", ""Blender"", ""Private entrance"", ""Private patio or balcony"", ""Hot water kettle"", ""Hot water"", ""Books and reading material"", ""Shower gel"", ""Kitchen"", ""Hangers"", ""Fire extinguisher"", ""Wifi"", ""Central heating"", ""Microwave"", ""Baking sheet"", ""Coffee"", ""Laundromat nearby"", ""Clothing storage: closet and dresser"", ""Body soap"", ""Free dryer \u2013 In unit"", ""Shared gym nearby"", ""First aid kit"", ""30 inch TV with DVD player"", ""Free washer \u2013 In unit"", ""Dedicated workspace"", ""Ocean view"", ""Portable fans"", ""Cooking basics"", ""Single level home"", ""Drying rack for clothing"", ""Extra pillows and blankets"", ""Iron"", ""Bed linens"", ""Wine glasses"", ""Beach essentials"", ""Hockey rink"", ""Carbon monoxide alarm"", ""Freezer""]",2,120,2,2,120,120,2.0,120.0,,57,87,179,29/12/24,38,0,17/06/12,27/10/24,4.88,4.91,4.97,4.99,4.98,4.96,4.93,,1,1,0,0,1.92,Rhona,1,t,293,$139.00 
28,528492,20241200000000.0,29/12/24,https://www.airbnb.com/users/show/2596667,"Victoria, Canada",80%,t,2,"['email', 'phone', 'work_email']",-123.37046,Entire rental unit,1.0,1 bath,1.0,2.0,"[""Free parking on premises"", ""Outdoor furniture"", ""Dishes and silverware"", ""Hair dryer"", ""Smoke alarm"", ""Outdoor dining area"", ""Refrigerator"", ""Host greets you"", ""Shampoo"", ""Harbor view"", ""Essentials"", ""Heating"", ""Dryer"", ""Private patio or balcony"", ""TV with standard cable"", ""Hot water"", ""Indoor fireplace"", ""Kitchen"", ""Hangers"", ""Wifi"", ""BBQ grill"", ""Elevator"", ""Dedicated workspace"", ""Marina view"", ""Ocean view"", ""Cooking basics"", ""Washer"", ""Iron"", ""Coffee maker""]",90,90,90,90,90,90,90.0,90.0,,53,83,358,29/12/24,2,0,08/06/13,25/02/24,4.91,5.0,4.96,4.93,4.98,4.93,4.87,,1,1,0,0,0.33,Teresa,2,t,46,$159.00 
30,561477,20241200000000.0,29/12/24,https://www.airbnb.com/users/show/2760576,"British Columbia, Canada",96%,t,1,"['email', 'phone', 'work_email']",-123.57831,Entire cabin,1.0,1 bath,2.0,2.0,"[""Free parking on premises"", ""Outdoor furniture"", ""Dishes and silverware"", ""Hair dryer"", ""Smoke alarm"", ""Cleaning products"", ""Dove  conditioner"", ""Stove"", ""Outdoor dining area"", ""Sound system"", ""Host greets you"", ""Shampoo"", ""Dining table"", ""Essentials"", ""Oven"", ""Toaster"", ""Bay view"", ""Heating"", ""Private entrance"", ""Private patio or balcony"", ""Hot water kettle"", ""Shared backyard \u2013 Not fully fenced"", ""Hot water"", ""Books and reading material"", ""Shower gel"", ""Ceiling fan"", ""Kitchen"", ""Hangers"", ""Fire extinguisher"", ""Microwave"", ""Baking sheet"", ""BBQ grill"", ""Frigidaire  refrigerator"", ""Body soap"", ""Sun loungers"", ""Barbecue utensils"", ""Dedicated workspace"", ""Portable fans"", ""Cooking basics"", ""Extra pillows and blankets"", ""Beach access \u2013 Beachfront"", ""Bed linens"", ""Indoor fireplace: wood-burning"", ""Coffee maker"", ""Wine glasses"", ""Beach essentials"", ""Carbon monoxide alarm"", ""Board games""]",2,30,2,2,30,30,2.0,30.0,,56,78,78,29/12/24,36,2,30/12/12,19/12/24,4.96,4.97,4.87,4.98,4.96,4.95,4.95,,1,1,0,0,3.31,Marcia,1,t,484,$225.00 
33,668372,20241200000000.0,29/12/24,https://www.airbnb.com/users/show/3383275,"Victoria, Canada",89%,t,3,"['email', 'phone']",-123.4276,Entire guest suite,1.0,1 bath,1.0,3.0,"[""Free parking on premises"", ""Outdoor furniture"", ""Long term stays allowed"", ""Dishes and silverware"", ""Waterfront"", ""Hair dryer"", ""Smoke alarm"", ""Cleaning products"", ""Pack \u2019n play/Travel crib"", ""Stove"", ""Outdoor dining area"", ""Refrigerator"", ""Free street parking"", ""Shampoo"", ""Dining table"", ""High chair"", ""Crib"", ""Bathtub"", ""Self check-in"", ""Essentials"", ""Oven"", ""Toaster"", ""Blender"", ""Kirkland conditioner"", ""Heating"", ""Children\u2019s books and toys"", ""Private entrance"", ""TV with standard cable"", ""Hot water kettle"", ""Private patio or balcony"", ""Shared backyard \u2013 Not fully fenced"", ""Books and reading material"", ""Hot water"", ""Shower gel"", ""Kitchen"", ""Hangers"", ""Fire extinguisher"", ""Wifi"", ""Microwave"", ""Baking sheet"", ""BBQ grill"", ""Coffee"", ""Clothing storage: closet and dresser"", ""Free dryer \u2013 In unit"", ""Free washer \u2013 In unit"", ""Dedicated workspace"", ""Cooking basics"", ""Single level home"", ""Keypad"", ""Extra pillows and blankets"", ""Iron"", ""Bed linens"", ""Coffee maker"", ""Wine glasses"", ""Aveno body soap"", ""Carbon monoxide alarm"", ""Children\u2019s dinnerware"", ""Board games"", ""Freezer""]",3,1125,3,3,1125,1125,3.0,1125.0,,17,29,83,29/12/24,13,0,11/12/12,03/10/24,4.84,4.92,4.91,4.95,4.91,4.77,4.81,,1,1,0,0,1.12,Alyssa,2,t,164,$124.00 
37,784093,20241200000000.0,29/12/24,https://www.airbnb.com/users/show/4134834,"Victoria, Canada",92%,t,3,"['email', 'phone', 'work_email']",-123.3689,Private room in guest suite,1.0,1 private bath,1.0,1.0,"[""Hair dryer"", ""Conditioner"", ""Smoke alarm"", ""Lock on bedroom door"", ""Refrigerator"", ""EV charger"", ""Luggage dropoff allowed"", ""Shampoo"", ""Essentials"", ""Hot water kettle"", ""Books and reading material"", ""Hot water"", ""Ceiling fan"", ""Hangers"", ""Wifi"", ""Coffee maker: drip coffee maker"", ""Central heating"", ""Coffee"", ""Free driveway parking on premises \u2013 1 space"", ""Portable fans"", ""Central air conditioning"", ""Bed linens"", ""Carbon monoxide alarm""]",3,14,2,4,14,14,2.9,14.0,,60,90,270,29/12/24,41,1,26/01/13,01/12/24,4.83,4.85,4.82,4.96,4.93,4.96,4.84,,2,0,2,0,2.03,Dan & Naoko,2,t,295,$101.00 
