Unnamed: 0,id,scrape_id,last_scraped,host_url,host_location,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_verifications,longitude,property_type,bathrooms,bathrooms_text,bedrooms,beds,amenities,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,host_name,host_listings_count,has_availability,number_of_reviews,price
1,41168,20241200000000.0,29/12/24,https://www.airbnb.com/users/show/173169,"Victoria, Canada",99%,t,6,"['email', 'phone']",-123.37065,Entire rental unit,1.0,1 bath,1.0,1.0,"[""Free parking on premises"", ""Outdoor furniture"", ""Long term stays allowed"", ""Dishes and silverware"", ""Hair dryer"", ""Smoke alarm"", ""Cleaning products"", ""Pack \u2019n play/Travel crib"", ""Patio or balcony"", ""Paid dryer \u2013 In building"", ""Refrigerator"", ""Free street parking"", ""Shared backyard \u2013 Fully fenced"", ""TV with Netflix, Amazon Prime Video"", ""Shampoo"", ""Dining table"", ""Self check-in"", ""Bathtub"", ""Essentials"", ""Oven"", ""Toaster"", ""Heating"", ""Private entrance"", ""Hot water kettle"", ""Hot water"", ""Kitchen"", ""Wifi"", ""Hangers"", ""Fire extinguisher"", ""Microwave"", ""Baking sheet"", ""BBQ grill"", ""Pets allowed"", ""Dishwasher"", ""Body soap"", ""Barbecue utensils"", ""Dedicated workspace"", ""Portable fans"", ""Cooking basics"", ""Washer"", ""Keypad"", ""Extra pillows and blankets"", ""Bed linens"", ""Coffee maker"", ""Wine glasses"", ""Stove"", ""Freezer""]",1,90,1,1,90,90,1.0,90.0,,0,0,0,29/12/24,9,0,04/07/13,29/09/24,4.29,4.48,4.42,4.52,4.57,4.83,4.23,38790,3,3,0,0,0.5,Ocean Island Garden Suites,3,t,70,"$9,999.00 "
2,83515,20241200000000.0,29/12/24,https://www.airbnb.com/users/show/455118,"British Columbia, Canada",97%,t,4,"['email', 'phone']",-123.49996,Entire guest suite,1.0,1 bath,1.0,0.0,"[""Free parking on premises"", ""Dishes and silverware"", ""Hair dryer"", ""Smoke alarm"", ""Backyard"", ""Refrigerator"", ""Courtyard view"", ""Shampoo"", ""Garden view"", ""Self check-in"", ""Essentials"", ""Heating"", ""Dryer"", ""Hot water"", ""Kitchen"", ""Wifi"", ""Building staff"", ""Breakfast"", ""Washer"", ""Coffee maker""]",2,730,2,2,730,730,2.0,730.0,,23,44,289,29/12/24,13,0,05/05/11,13/10/24,4.88,4.89,4.87,4.92,4.84,4.94,4.75,,2,2,0,0,0.89,Celia,2,t,148,$175.00 
3,168460,20241200000000.0,29/12/24,https://www.airbnb.com/users/show/802981,"Victoria, Canada",,f,3,"['email', 'phone', 'work_email']",-123.3679,Entire townhouse,2.5,2.5 baths,2.0,2.0,"[""Free parking on premises"", ""Dishes and silverware"", ""Hair dryer"", ""Smoke alarm"", ""Refrigerator"", ""Shampoo"", ""Essentials"", ""Heating"", ""Dryer"", ""Private entrance"", ""TV with standard cable"", ""Indoor fireplace"", ""Kitchen"", ""Hangers"", ""Wifi"", ""Pets allowed"", ""Washer"", ""Iron"", ""Carbon monoxide alarm""]",60,180,60,60,180,180,60.0,180.0,,53,83,173,29/12/24,0,0,09/08/12,26/08/18,4.91,4.9,4.98,4.89,4.92,5.0,4.9,,1,1,0,0,0.42,Deborah,1,t,64,$200.00 
4,185732,20241200000000.0,29/12/24,https://www.airbnb.com/users/show/880366,"Victoria, Canada",0%,f,3,"['email', 'phone', 'work_email']",-123.46357,Private room in home,1.0,1 private bath,2.0,2.0,"[""Free parking on premises"", ""Hair dryer"", ""Smoke alarm"", ""Backyard"", ""Patio or balcony"", ""Host greets you"", ""Luggage dropoff allowed"", ""Shampoo"", ""High chair"", ""Essentials"", ""Heating"", ""Dryer"", ""Children\u2019s books and toys"", ""Private entrance"", ""TV with standard cable"", ""Hot water"", ""Indoor fireplace"", ""Hangers"", ""Fire extinguisher"", ""Wifi"", ""Hot tub"", ""Dishwasher"", ""Gym"", ""Breakfast"", ""Washer"", ""Iron"", ""Carbon monoxide alarm"", ""Lake access""]",1,365,1,1,365,365,1.0,365.0,,60,90,365,29/12/24,0,0,17/08/11,22/09/19,4.72,4.67,4.65,4.82,4.88,4.61,4.61,,3,0,3,0,0.32,Peter,3,t,52,$199.00 
5,193366,20241200000000.0,29/12/24,https://www.airbnb.com/users/show/937766,"Victoria, Canada",100%,f,1,"['email', 'phone']",-123.3376,Entire guest suite,2.0,2 baths,2.0,3.0,"[""Free parking on premises"", ""Dishes and silverware"", ""Hair dryer"", ""Smoke alarm"", ""Backyard"", ""Refrigerator"", ""Shampoo"", ""Self check-in"", ""Essentials"", ""Heating"", ""Dryer"", ""TV with standard cable"", ""Hot water"", ""Kitchen"", ""Hangers"", ""Fire extinguisher"", ""Wifi"", ""Pets allowed"", ""First aid kit"", ""Dedicated workspace"", ""Cooking basics"", ""Washer"", ""Keypad"", ""Extra pillows and blankets"", ""Iron"", ""Bed linens""]",30,365,30,30,1125,1125,30.0,1125.0,,17,44,259,29/12/24,1,0,16/02/12,16/11/24,4.75,4.83,4.78,4.92,4.89,4.88,4.76,,1,1,0,0,1.0,Sandra,1,t,157,$135.00 
6,201427,20241200000000.0,29/12/24,https://www.airbnb.com/users/show/880366,"Victoria, Canada",0%,f,3,"['email', 'phone', 'work_email']",-123.46259,Private room in home,1.0,1 private bath,1.0,1.0,"[""Free parking on premises"", ""Indoor fireplace"", ""Hangers"", ""Fire extinguisher"", ""Smoke alarm"", ""Wifi"", ""Washer"", ""Essentials"", ""Hot tub"", ""Heating"", ""Dryer"", ""Children\u2019s books and toys"", ""Private entrance"", ""TV with standard cable"", ""Carbon monoxide alarm"", ""Gym"", ""Host greets you"", ""Hot water""]",1,730,1,1,730,730,1.0,730.0,,60,90,363,29/12/24,0,0,03/07/12,22/02/20,4.63,4.8,4.78,4.96,5.0,4.58,4.68,,3,0,3,0,0.34,Peter,3,t,51,$69.00 
7,201441,20241200000000.0,29/12/24,https://www.airbnb.com/users/show/880366,"Victoria, Canada",0%,f,3,"['email', 'phone', 'work_email']",-123.46352,Private room in home,1.0,1 private bath,1.0,1.0,"[""Free parking on premises"", ""Smoke alarm"", ""Host greets you"", ""Luggage dropoff allowed"", ""High chair"", ""Essentials"", ""Heating"", ""Dryer"", ""Children\u2019s books and toys"", ""Private entrance"", ""TV with standard cable"", ""Hot water"", ""Indoor fireplace"", ""Kitchen"", ""Hangers"", ""Fire extinguisher"", ""Wifi"", ""Hot tub"", ""Gym"", ""Breakfast"", ""Washer"", ""Iron"", ""Carbon monoxide alarm""]",1,365,1,1,365,365,1.0,365.0,,60,90,365,29/12/24,0,0,07/08/15,26/07/19,4.67,4.67,4.75,4.75,4.75,4.5,4.58,,3,0,3,0,0.1,Peter,3,t,12,$139.00 
8,203416,20241200000000.0,29/12/24,https://www.airbnb.com/users/show/997424,"British Columbia, Canada",98%,f,3,"['email', 'phone']",-123.35163,Entire cabin,1.0,1 bath,1.0,2.0,"[""Sea view"", ""Free parking on premises"", ""Mountain view"", ""Dishes and silverware"", ""Hair dryer"", ""Backyard"", ""Refrigerator"", ""Shampoo"", ""Garden view"", ""Essentials"", ""Oven"", ""Heating"", ""Private patio or balcony"", ""Hot water"", ""Indoor fireplace"", ""Kitchen"", ""Hangers"", ""Wifi"", ""Private hot tub"", ""Pets allowed"", ""Dedicated workspace"", ""Ocean view"", ""Cooking basics"", ""Extra pillows and blankets"", ""Bed linens"", ""Coffee maker"", ""Stove""]",4,30,1,4,1125,1125,3.7,1125.0,,30,59,59,29/12/24,29,3,15/11/12,17/12/24,4.92,4.87,4.85,4.92,4.9,4.95,4.85,,2,2,0,0,3.1,Line Marie,2,t,457,$147.00 
9,226028,20241200000000.0,29/12/24,https://www.airbnb.com/users/show/1178351,"Victoria, Canada",100%,t,2,"['email', 'phone', 'work_email']",-123.35134,Entire home,1.0,1 bath,1.0,2.0,"[""Free parking on premises"", ""Outdoor furniture"", ""Long term stays allowed"", ""Dishes and silverware"", ""Hair dryer"", ""Smoke alarm"", ""Cleaning products"", ""Sound system with aux"", ""Ethernet connection"", ""Radiant heating"", ""Refrigerator"", ""Outdoor dining area"", ""Free street parking"", ""Host greets you"", ""Shared beach access"", ""Luggage dropoff allowed"", ""Induction stove"", ""Dining table"", ""Natural unscented body soap"", ""Natural unscented shampoo"", ""Outlet covers"", ""Essentials"", ""Toaster"", ""Blender"", ""Cleaning available during stay"", ""Private entrance"", ""36 inch HDTV with Amazon Prime Video, Chromecast, Netflix, standard cable"", ""Private patio or balcony"", ""Hot water kettle"", ""Hot water"", ""Books and reading material"", ""Shower gel"", ""Ceiling fan"", ""Kitchen"", ""Hangers"", ""Fire extinguisher"", ""Wifi"", ""Baking sheet"", ""Pets allowed"", ""Coffee"", ""Dishwasher"", ""Clothing storage: closet and dresser"", ""Free dryer \u2013 In unit"", ""Free washer \u2013 In unit"", ""Barbecue utensils"", ""Dedicated workspace"", ""Cooking basics"", ""Private BBQ grill: gas"", ""Drying rack for clothing"", ""Extra pillows and blankets"", ""Iron"", ""Bed linens"", ""Coffee maker"", ""Wine glasses"", ""Natural unscented conditioner"", ""Private backyard \u2013 Fully fenced"", ""Freezer""]",30,1125,30,30,1125,1125,30.0,1125.0,,0,5,37,29/12/24,2,0,07/10/11,08/09/24,4.88,4.94,4.9,4.94,4.92,4.73,4.77,,2,2,0,0,1.61,Allison,2,t,259,$110.00 
11,237053,20241200000000.0,29/12/24,https://www.airbnb.com/users/show/1216332,"Victoria, Canada",85%,f,3,"['email', 'phone']",-123.37014,Private room in home,1.0,1 private bath,1.0,1.0,"[""Hair dryer"", ""Smoke alarm"", ""Patio or balcony"", ""Room-darkening shades"", ""Lock on bedroom door"", ""Free street parking"", ""Host greets you"", ""Luggage dropoff allowed"", ""Shampoo"", ""Essentials"", ""Heating"", ""Private entrance"", ""Clothing storage"", ""TV with standard cable"", ""Hot water"", ""Hangers"", ""Fire extinguisher"", ""Wifi"", ""Extra pillows and blankets"", ""Bed linens""]",2,180,1,30,180,180,29.3,180.0,,59,89,364,29/12/24,3,0,16/10/11,04/09/24,4.67,4.78,4.83,4.88,4.79,4.91,4.74,38332,2,0,2,0,1.65,Ann,2,t,266,$89.00 
